# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 100
41 0.711501 0.702983 0.015869 0.014501 7.114202 24.978748 59.100648 1 00080_front.png

42 0.711501 0.702983 0.015869 0.014501 6.939739 25.063314 59.100648 1 00081_front.png

43 0.711501 0.702983 0.015869 0.014501 6.840940 25.173010 59.100648 1 00082_front.png

44 0.711501 0.702983 0.015869 0.014501 6.747848 25.219781 59.100648 1 00083_front.png

45 0.711501 0.702983 0.015869 0.014501 6.668755 25.336589 59.100648 1 00084_front.png

46 0.711501 0.702983 0.015869 0.014501 6.600389 25.435198 59.100648 1 00085_front.png

47 0.711501 0.702983 0.015869 0.014501 6.514309 25.559949 59.100648 1 00086_front.png

48 0.711501 0.702983 0.015869 0.014501 6.398378 25.639423 59.100648 1 00087_front.png

49 0.711501 0.702983 0.015869 0.014501 6.278285 25.740861 59.100648 1 00088_front.png

50 0.711501 0.702983 0.015869 0.014501 6.199719 25.867750 59.100648 1 00089_front.png

51 0.711501 0.702983 0.015869 0.014501 6.110729 25.937351 59.100648 1 00090_front.png

52 0.711501 0.702983 0.015869 0.014501 5.978292 26.079781 59.100648 1 00091_front.png

53 0.711501 0.702983 0.015869 0.014501 5.867739 26.139409 59.100648 1 00092_front.png

54 0.711501 0.702983 0.015869 0.014501 5.750850 26.213445 59.100648 1 00093_front.png

55 0.711501 0.702983 0.015869 0.014501 5.703389 26.319770 59.100648 1 00094_front.png

56 0.711501 0.702983 0.015869 0.014501 5.538750 26.445770 59.100648 1 00095_front.png

57 0.711501 0.702983 0.015869 0.014501 5.448850 26.518771 59.100648 1 00096_front.png

58 0.711501 0.702983 0.015869 0.014501 5.404402 26.663334 59.100648 1 00097_front.png

59 0.711501 0.702983 0.015869 0.014501 5.295313 26.774343 59.100648 1 00098_front.png

60 0.711501 0.702983 0.015869 0.014501 5.204400 26.878791 59.100648 1 00099_front.png

61 0.711501 0.702983 0.015869 0.014501 5.059762 26.963235 59.100648 1 00100_front.png

62 0.711501 0.702983 0.015869 0.014501 4.949840 27.056778 59.100648 1 000101_front.png

63 0.711501 0.702983 0.015869 0.014501 4.850840 27.128891 59.100648 1 000102_front.png

64 0.711501 0.702983 0.015869 0.014501 4.749860 27.219781 59.100648 1 000103_front.png

65 0.711501 0.702983 0.015869 0.014501 4.649864 27.400324 59.100648 1 000104_front.png

66 0.711501 0.702983 0.015869 0.014501 4.549840 27.418771 59.100648 1 000105_front.png

